index,time,text
0,2020-12-03 23:40:23,@RationalEtienne And no toilet paper 🤣🤣
1,2020-12-03 23:30:34,Watch Demolition Man
2,2020-12-03 23:19:57,Prometheus Unbound
3,2020-12-03 14:25:15,RT @SpaceX: The Falcon 9 booster supporting this mission previously launched @NASA astronauts Bob Behnken and Doug Hurley to the @space_sta…
4,2020-12-03 02:21:46,@ErcXspace @SpaceX @NASASpaceflight @Erdayastronaut @MarcusHouseGame @FelixSchlang Not bad
5,2020-12-02 17:33:24,@TheOnion It was a beast compared to the VIC-20
6,2020-12-02 13:29:19,"@Tesmanian_com Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co"
7,2020-12-02 03:19:28,"Much of what people think of an science is actually engineering, eg no such thing as a “rocket scientist”, only roc… https://t.co/ws70UvCRyN"
8,2020-12-02 03:13:25,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things… https://t.co/XMQTBrLDYP"
9,2020-12-02 03:03:05,@justpaulinelol It does get a bit cold at night
10,2020-12-01 11:58:41,@engineers_feed Paint makes a hell of a difference
11,2020-11-30 23:18:18,@DeepMind Congrats!
12,2020-11-30 22:53:11,@lrocket Thanks for everything you did to help build SpaceX! Some of the best memories ever.
13,2020-11-30 18:26:28,@RGVaerialphotos It will be real soon
14,2020-11-29 22:57:08,@MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight Starship legs are one of the hardest problems. External… https://t.co/csIZk6sEVu
15,2020-11-29 19:01:30,"@bcart03 @nextspaceflight @NASASpaceflight Static fire is not risky from build site, but we need to clear the build site for early flights"
16,2020-11-29 18:58:27,@nextspaceflight @NASASpaceflight Just a static fire tomorrow. Flight no earlier than Wednesday.
17,2020-11-28 20:06:51,@ErcXspace @SpaceX It will have landing legs
18,2020-11-28 18:28:24,"@eugenelee3 @PPathole @karpathy Yes, very sad news. Tony was great."
19,2020-11-28 18:06:34,"@PPathole @karpathy For a second there, I thought that was a pic of Thanos haha"
20,2020-11-28 01:46:31,"@Poppa_BearQ @ID_AA_Carmack Yeah, truncate zeros &amp; then round"
21,2020-11-28 01:45:22,@dburkland @ID_AA_Carmack Probably going to a wider beta in ~2 weeks
22,2020-11-28 01:17:26,@ID_AA_Carmack fp16 with least important digits truncated (so it feels like fp32) is what we’re betting on for training with Dojo
23,2020-11-28 00:57:58,@ID_AA_Carmack Int8 for almost all heavy lifting in inference works great
24,2020-11-26 19:27:13,@thisisjendoll But actually! https://t.co/lb14pKsayI
25,2020-11-26 19:26:22,@thisisjendoll https://t.co/mMg5b8b40z
26,2020-11-26 15:12:00,Happy Thanksgiving!
27,2020-11-26 05:43:01,@teslaownerssv @JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Hopefully next month
28,2020-11-26 05:40:57,@JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Ok. Overall air suspension height &amp; damping algorithm is… https://t.co/opgo08vd4Y
29,2020-11-26 05:38:31,@karpathy Haha true
30,2020-11-26 05:37:34,@HumanoidHistory The Promise is greatly needed
31,2020-11-25 23:45:24,"@EvaFoxU We will have special colors for new Roadster, as we did for the original"
32,2020-11-25 22:16:02,@RationalEtienne @TheBabylonBee 🤣🤣
33,2020-11-25 20:38:25,.@TheBabylonBee is savage 🤣🤣
34,2020-11-25 18:12:04,@WorldAndScience If you ever wondered where we came from
35,2020-11-25 02:12:17,"This is a life leader launch, so more risk than normal https://t.co/EtFP9IELrf"
36,2020-11-25 00:18:27,"@TesLatino @flcnhvy @thesheetztweetz Yes, but only slightly filled"
37,2020-11-25 00:16:50,@aholstein404 @flcnhvy @thesheetztweetz This is a subject of much debate
38,2020-11-25 00:15:56,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15
39,2020-11-25 00:13:02,"@flcnhvy @thesheetztweetz Many small improvements, but overall similar. Wiring is more robust, engines are more mat… https://t.co/7oFbmY1N25"
40,2020-11-25 00:08:00,@thesheetztweetz But that’s why we have SN 9 &amp; SN10
41,2020-11-25 00:07:24,"@thesheetztweetz Lot of things need to go right, so maybe 1/3 chance"
42,2020-11-24 23:59:27,Good Starship SN8 static fire! Aiming for first 15km / ~50k ft altitude flight next week. Goals are to test 3 engin… https://t.co/7OjorqNhb6
43,2020-11-24 19:23:27,@Erdayastronaut @MarcusHouseGame Maybe start on that a year from now. Depends on how Starship progress goes.
44,2020-11-24 19:22:45,@RationalEtienne @MarcusHouseGame Not yet
45,2020-11-24 18:54:33,@StarshipFairing @MarcusHouseGame Not bad! We will definitely need more engines if we make the cargo bay all propel… https://t.co/j2uVULTatv
46,2020-11-24 18:49:12,"@MarcusHouseGame Rapid &amp; complete rocket reuse, low cost propellant, orbital refilling &amp; propellant production at d… https://t.co/UmyUR7yShY"
47,2020-11-24 06:45:43,@Erdayastronaut @PPathole @Teslarati @TeslaRoadTrip Yes
48,2020-11-24 03:20:27,"@PPathole @Teslarati @TeslaRoadTrip We’re still far from simply video in, control out. The biggest game-changer, cu… https://t.co/nb5Hl7gzlx"
49,2020-11-24 02:30:47,@Teslarati @TeslaRoadTrip FSD Beta 5 coming out in a few days. Improvement should be significant.
50,2020-11-23 22:45:12,@XHNews Exciting mission!
51,2020-11-23 21:12:28,@vincent13031925 @Tesla Wow
52,2020-11-23 06:56:32,@Liv_Boeree Yea
53,2020-11-22 03:42:11,"Tomorrow will be the 7th flight of this rocket, landing on droneship Of Course I Still Love You"
54,2020-11-21 21:27:06,@JohnnaCrider1 @teslaownerssv @28delayslater Sure
55,2020-11-21 21:22:09,@FutureJurvetson @flcnhvy True
56,2020-11-21 21:12:25,@RationalEtienne @heydave7 @philwhln We have quiet a queue of products to build! Better do new Roadster at some point😬.
57,2020-11-21 21:10:08,"@RationalEtienne @ShyCybertruck Fate loves irony, but hates hypocrisy"
58,2020-11-21 18:09:38,"RT @NASA: Booster separation, second-engine start, and fairing separation as the U.S.-European Sentinel-6 Michael Freilich ocean-observing…"
59,2020-11-21 17:49:30,@ICannot_Enough @heydave7 Yes 😃
60,2020-11-21 17:48:38,@flcnhvy Our data center was named Skynet as a joke over 10 years ago. Might have been tempting fate!
61,2020-11-21 17:47:12,@heydave7 @philwhln Tesla is a vehicle for creating &amp; producing many useful products
62,2020-11-21 17:38:56,@NASASpaceflight Largest cast titanium part in the world. No heat shielding needed.
63,2020-11-21 17:34:45,Landing at Vandenberg AFB in California https://t.co/46J2GcCjP0
64,2020-11-21 17:29:57,"@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Actually, off to the side (so it doesn’t take out the launch… https://t.co/Fr9aUCYWCO"
65,2020-11-21 17:28:32,@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Where it should be!
66,2020-11-21 16:33:40,"@philwhln @heydave7 Because I am not an investor. Tesla is definitely not the only good company, but investing is n… https://t.co/wDUz0wnuIn"
67,2020-11-21 16:30:40,"Well, almost anything https://t.co/FFPVDsqruC"
68,2020-11-21 14:44:07,Quite the day ahead https://t.co/apZNgmo0k7
69,2020-11-21 14:39:18,RT @SpaceX: Crew-1’s view of Earth during Dragon’s flight to the @space_station https://t.co/lQW6TYmpB7
70,2020-11-21 06:19:36,@NASAaero @LockheedMartin Now *this* is what you’d call pointy!
71,2020-11-21 04:43:51,@cleantechnica Cool
72,2020-11-21 04:36:51,"@Astro_Fonseca @Space_Station @wonderofscience @VirtualAstro They’re moving at ~25 times the speed of sound, but it feels like nothing"
73,2020-11-21 03:31:02,@WorldAndScience https://t.co/XAJaN4j9ZR
74,2020-11-20 20:06:46,@vicentes @EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station There will always be upgrades
75,2020-11-20 20:00:35,@EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station It will be better than human vision by quite a margin
76,2020-11-20 19:57:48,@enn_nafnlaus @mirojurcevic @TashaARK @Space_Station Reality looks like a strange ghost-world at radar wavelengths.… https://t.co/DMGov9rcnu
77,2020-11-20 19:55:10,@PPathole @mirojurcevic @TashaARK @Space_Station Exactly
78,2020-11-20 18:03:45,@mirojurcevic @TashaARK This is a misperception. SpaceX developed &amp; continues to use lidar for Dragon docking with… https://t.co/3I0bWGjlQp
79,2020-11-20 17:55:42,@PhilippeCROIZON @SpaceX One day we will fly you on Starship
80,2020-11-20 16:02:44,@Peter_J_Beck Well done!
81,2020-11-20 15:49:13,"@hisdirtremoves @SpaceX I can’t comment on turbopump internal details, but you’re roughly in the ballpark. Wow, roc… https://t.co/0SRlFg03Fg"
82,2020-11-20 15:43:39,"@TashaARK To be clear, this was just an XPeng problem. Other companies in China have not done this."
83,2020-11-20 15:24:26,"@IsaacLatterell @TashaARK @karpathy Andrej is awesome, but it should be said that we have a very talented Autopilot… https://t.co/64ocngk3ey"
84,2020-11-20 15:20:10,"@spacetouristuk @TashaARK Yeah. They stole Apple’s code too.
https://t.co/gy4DT7Pq9N"
85,2020-11-20 15:14:03,@TashaARK They have an old version of our software &amp; don’t have our NN inference computer
86,2020-11-20 02:51:15,@levie Wild times!
87,2020-11-20 02:46:39,@RocketLab Congrats!
88,2020-11-20 01:10:49,@slashdot .@TheOnion
89,2020-11-19 21:04:15,@ID_AA_Carmack Yup
90,2020-11-19 21:02:15,"@flcnhvy Change out a few parts, otherwise fine"
91,2020-11-19 17:56:28,@Forbes Caution strongly advised with SPACs
92,2020-11-19 17:02:49,@AdamKIotz @Suvitruf @archillect Sure
93,2020-11-19 15:36:29,@Suvitruf @archillect Haha sexy cropping champion of all time
94,2020-11-19 15:17:04,"@tweetmenima @teslaownerssv If next week’s release looks good, we will widen beta"
95,2020-11-19 15:14:05,"@justpaulinelol @teslaownerssv Unfortunately, there are too many rules around liquor distribution, even in the US.… https://t.co/kvHlbueE1u"
96,2020-11-19 15:11:03,"@teslaownerssv Next week’s release is special. Lot of fundamental improvements, both important bug fixes &amp; entire n… https://t.co/BV5STdWNgj"
97,2020-11-19 05:24:26,@westcoastbill @SpaceX 13 years &amp; $11 billion … wow
98,2020-11-19 03:31:56,@OwenSparks_ @flcnhvy @Tesla Safety is our primary design goal
99,2020-11-19 01:22:22,@PPathole @AstroJordy @flcnhvy Fully
100,2020-11-18 23:47:04,@Astronomiaum Let the Martians decide their own future
101,2020-11-18 23:34:26,@shifthappends @Tesla A lot of my brain space is spent dealing with both units!
102,2020-11-18 23:29:52,"@Astronomiaum Terraforming will be too slow to be relevant in our lifetime. However, we can establish a human base… https://t.co/uygaAE7g3r"
103,2020-11-18 18:30:16,@PPathole @xDreamCoding @garyblack00 That is certainly the intention!
104,2020-11-18 17:34:50,@xDreamCoding @garyblack00 https://t.co/fREZwjCwNa
105,2020-11-18 17:31:40,@garyblack00 The only publicly traded stock I own is Tesla
106,2020-11-18 17:31:01,@garyblack00 Wise words from Bogle. The point of companies is products &amp; services. They have no point in &amp; of thems… https://t.co/eNCU8cBLpy
