index,time,tweets
0,2020-12-03 23:40:23,And no toilet paper
1,2020-12-03 23:30:34,Watch Demolition Man
2,2020-12-03 23:19:57,Prometheus Unbound
3,2020-12-03 14:25:15,: The Falcon booster supporting this mission previously launched astronauts Bob Behnken and Doug Hurley to the
4,2020-12-03 02:21:46,Not bad
5,2020-12-02 17:33:24,It was a beast compared to the VIC-20
6,2020-12-02 13:29:19,"Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co"
7,2020-12-02 03:19:28,"Much of what people think of an science is actually engineering, eg no such thing as a rocket scientist, only roc"
8,2020-12-02 03:13:25,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things"
9,2020-12-02 03:03:05,It does get a bit cold at night
10,2020-12-01 11:58:41,Paint makes a hell of a difference
11,2020-11-30 23:18:18,Congrats!
12,2020-11-30 22:53:11,Thanks for everything you did to help build SpaceX! Some of the best memories ever.
13,2020-11-30 18:26:28,It will be real soon
14,2020-11-29 22:57:08,Starship legs are one of the hardest problems. External
15,2020-11-29 19:01:30,"Static fire is not risky from build site, but we need to clear the build site for early flights"
16,2020-11-29 18:58:27,Just a static fire tomorrow. Flight no earlier than Wednesday.
17,2020-11-28 20:06:51,It will have landing legs
18,2020-11-28 18:28:24,"Yes, very sad news. Tony was great."
19,2020-11-28 18:06:34,"For a second there, I thought that was a pic of Thanos haha"
20,2020-11-28 01:46:31,"Yeah, truncate zeros &amp; then round"
21,2020-11-28 01:45:22,Probably going to a wider beta in ~2 weeks
22,2020-11-28 01:17:26,fp16 with least important digits truncated (so it feels like fp32) is what were betting on for training with Dojo
23,2020-11-28 00:57:58,Int8 for almost all heavy lifting in inference works great
24,2020-11-26 19:27:13,But actually!
25,2020-11-26 19:26:22,
26,2020-11-26 15:12:00,Happy Thanksgiving!
27,2020-11-26 05:43:01,Hopefully next month
28,2020-11-26 05:40:57,Ok. Overall air suspension height &amp; damping algorithm is
29,2020-11-26 05:38:31,Haha true
30,2020-11-26 05:37:34,The Promise is greatly needed
31,2020-11-25 23:45:24,"We will have special colors for new Roadster, as we did for the original"
32,2020-11-25 22:16:02,
33,2020-11-25 20:38:25,. is savage
34,2020-11-25 18:12:04,If you ever wondered where we came from
35,2020-11-25 02:12:17,"This is a life leader launch, so more risk than normal"
36,2020-11-25 00:18:27,"Yes, but only slightly filled"
37,2020-11-25 00:16:50,This is a subject of much debate
38,2020-11-25 00:15:56,Major upgrades are slated for SN15
39,2020-11-25 00:13:02,"Many small improvements, but overall similar. Wiring is more robust, engines are more mat"
40,2020-11-25 00:08:00,But thats why we have SN &amp; SN10
41,2020-11-25 00:07:24,"Lot of things need to go right, so maybe /3 chance"
42,2020-11-24 23:59:27,Good Starship SN8 static fire! Aiming for first km / ~50k ft altitude flight next week. Goals are to test engin
43,2020-11-24 19:23:27,Maybe start on that a year from now. Depends on how Starship progress goes.
44,2020-11-24 19:22:45,Not yet
45,2020-11-24 18:54:33,Not bad! We will definitely need more engines if we make the cargo bay all propel
46,2020-11-24 18:49:12,"Rapid &amp; complete rocket reuse, low cost propellant, orbital refilling &amp; propellant production at d"
47,2020-11-24 06:45:43,Yes
48,2020-11-24 03:20:27,"Were still far from simply video in, control out. The biggest game-changer, cu"
49,2020-11-24 02:30:47,FSD Beta coming out in a few days. Improvement should be significant.
50,2020-11-23 22:45:12,Exciting mission!
51,2020-11-23 21:12:28,Wow
52,2020-11-23 06:56:32,Yea
53,2020-11-22 03:42:11,"Tomorrow will be the th flight of this rocket, landing on droneship Of Course I Still Love You"
54,2020-11-21 21:27:06,Sure
55,2020-11-21 21:22:09,True
56,2020-11-21 21:12:25,We have quiet a queue of products to build! Better do new Roadster at some point.
57,2020-11-21 21:10:08,"Fate loves irony, but hates hypocrisy"
58,2020-11-21 18:09:38,": Booster separation, second-engine start, and fairing separation as the U.S.-European Sentinel-6 Michael Freilich ocean-observing"
59,2020-11-21 17:49:30,Yes
60,2020-11-21 17:48:38,Our data center was named Skynet as a joke over years ago. Might have been tempting fate!
61,2020-11-21 17:47:12,Tesla is a vehicle for creating &amp; producing many useful products
62,2020-11-21 17:38:56,Largest cast titanium part in the world. No heat shielding needed.
63,2020-11-21 17:34:45,Landing at Vandenberg AFB in California
64,2020-11-21 17:29:57,"Actually, off to the side (so it doesnt take out the launch"
65,2020-11-21 17:28:32,Where it should be!
66,2020-11-21 16:33:40,"Because I am not an investor. Tesla is definitely not the only good company, but investing is n"
67,2020-11-21 16:30:40,"Well, almost anything"
68,2020-11-21 14:44:07,Quite the day ahead
69,2020-11-21 14:39:18,: Crew-1s view of Earth during Dragons flight to the
70,2020-11-21 06:19:36,Now *this* is what youd call pointy!
71,2020-11-21 04:43:51,Cool
72,2020-11-21 04:36:51,"Theyre moving at ~25 times the speed of sound, but it feels like nothing"
73,2020-11-21 03:31:02,
74,2020-11-20 20:06:46,There will always be upgrades
75,2020-11-20 20:00:35,It will be better than human vision by quite a margin
76,2020-11-20 19:57:48,Reality looks like a strange ghost-world at radar wavelengths.
77,2020-11-20 19:55:10,Exactly
78,2020-11-20 18:03:45,This is a misperception. SpaceX developed &amp; continues to use lidar for Dragon docking with
79,2020-11-20 17:55:42,One day we will fly you on Starship
80,2020-11-20 16:02:44,Well done!
81,2020-11-20 15:49:13,"I cant comment on turbopump internal details, but youre roughly in the ballpark. Wow, roc"
82,2020-11-20 15:43:39,"To be clear, this was just an XPeng problem. Other companies in China have not done this."
83,2020-11-20 15:24:26,"Andrej is awesome, but it should be said that we have a very talented Autopilot"
84,2020-11-20 15:20:10,Yeah. They stole Apples code too.
85,2020-11-20 15:14:03,They have an old version of our software &amp; dont have our NN inference computer
86,2020-11-20 02:51:15,Wild times!
87,2020-11-20 02:46:39,Congrats!
